day,susceptible,infected,recovered,dead,new_infections,cumulative_infected,currently_infected,R_t,R0_proxy
133,500954,59501,383936,55609,4552,499046,59740,0.07619685302979579,0.07619685302979579
134,496509,59250,388058,56183,4445,503491,59501,0.07470462681299474,0.07470462681299474
135,492079,58883,392264,56774,4430,507921,59250,0.07476793248945147,0.07476793248945147
136,487588,58651,396386,57375,4491,512412,58883,0.0762698911400574,0.0762698911400574
137,483202,58279,400555,57964,4386,516798,58651,0.07478133365160014,0.07478133365160014
138,478737,57951,404783,58529,4465,521263,58279,0.07661421781430704,0.07661421781430704
139,474396,57734,408752,59118,4341,525604,57951,0.07490811202567686,0.07490811202567686
140,469991,57694,412627,59688,4405,530009,57734,0.07629819517095646,0.07629819517095646
141,465568,57546,416660,60226,4423,534432,57694,0.07666308454951988,0.07666308454951988
142,461267,57399,420540,60794,4301,538733,57546,0.07474020783373302,0.07474020783373302
143,456820,57243,424557,61380,4447,543180,57399,0.07747521733828115,0.07747521733828115
144,452527,56951,428599,61923,4293,547473,57243,0.07499606938839684,0.07499606938839684
145,448259,56676,432558,62507,4268,551741,56951,0.07494161647732261,0.07494161647732261
146,444049,56333,436525,63093,4210,555951,56676,0.07428188298397911,0.07428188298397911
147,439836,56048,440475,63641,4213,560164,56333,0.07478742477766141,0.07478742477766141
148,435649,55757,444371,64223,4187,564351,56048,0.07470382529260634,0.07470382529260634
149,431417,55601,448230,64752,4232,568583,55757,0.07590078375809316,0.07590078375809316
150,427136,55460,452079,65325,4281,572864,55601,0.07699501807521447,0.07699501807521447
151,422918,55231,455943,65908,4218,577082,55460,0.07605481428056257,0.07605481428056257
152,418753,55015,459778,66454,4165,581247,55231,0.07541054842389237,0.07541054842389237
153,414563,54938,463517,66982,4190,585437,55015,0.07616104698718532,0.07616104698718532
154,410399,54696,467393,67512,4164,589601,54938,0.0757945320179111,0.0757945320179111
155,406315,54402,471261,68022,4084,593685,54696,0.07466725171859002,0.07466725171859002
156,402229,54256,474978,68537,4086,597771,54402,0.0751075328112937,0.0751075328112937
157,398057,54090,478794,69059,4172,601943,54256,0.07689472132114421,0.07689472132114421
158,393898,53945,482573,69584,4159,606102,54090,0.07689036790534294,0.07689036790534294
159,389791,53793,486295,70121,4107,610209,53945,0.07613309852627677,0.07613309852627677
160,385597,53742,489992,70669,4194,614403,53793,0.0779655345491049,0.0779655345491049
161,381444,53579,493759,71218,4153,618556,53742,0.0772766179152246,0.0772766179152246
162,377265,53526,497456,71753,4179,622735,53579,0.07799697642733161,0.07799697642733161
163,373135,53459,501164,72242,4130,626865,53526,0.0771587639651758,0.0771587639651758
164,368950,53415,504861,72774,4185,631050,53459,0.07828429263547766,0.07828429263547766
165,364759,53438,508503,73300,4191,635241,53415,0.07846110643077787,0.07846110643077787
166,360666,53323,512159,73852,4093,639334,53438,0.07659343538306074,0.07659343538306074
167,356518,53276,515800,74406,4148,643482,53323,0.07779007182641637,0.07779007182641637
168,352565,53025,519502,74908,3953,647435,53276,0.07419851340190706,0.07419851340190706
169,348371,52923,523274,75432,4194,651629,53025,0.0790947666195191,0.0790947666195191
170,344183,53002,526876,75939,4188,655817,52923,0.07913383595034296,0.07913383595034296
171,340020,52997,530515,76468,4163,659980,53002,0.07854420587902343,0.07854420587902343
172,335930,52888,534230,76952,4090,664070,52997,0.07717417967054739,0.07717417967054739
173,331851,52674,537973,77502,4079,668149,52888,0.07712524580245046,0.07712524580245046
174,327855,52544,541568,78033,3996,672145,52674,0.07586285453924137,0.07586285453924137
175,323754,52506,545218,78522,4101,676246,52544,0.07804887332521315,0.07804887332521315
176,319695,52372,548865,79068,4059,680305,52506,0.07730545080562222,0.07730545080562222
177,315817,52052,552533,79598,3878,684183,52372,0.07404720079431758,0.07404720079431758
178,311839,51914,556126,80121,3978,688161,52052,0.07642357642357642,0.07642357642357642
179,307988,51622,559722,80668,3851,692012,51914,0.07418037523596718,0.07418037523596718
180,304126,51332,563370,81172,3862,695874,51622,0.0748130641974352,0.0748130641974352
181,300325,51025,566948,81702,3801,699675,51332,0.07404737785397024,0.07404737785397024
182,296561,50791,570456,82192,3764,703439,51025,0.07376776090151886,0.07376776090151886
183,292762,50457,574049,82732,3799,707238,50791,0.07479671595361383,0.07479671595361383
184,289023,50120,577615,83242,3739,710977,50457,0.07410270131002636,0.07410270131002636
185,285316,49830,581124,83730,3707,714684,50120,0.07396249002394253,0.07396249002394253
186,281433,49761,584527,84279,3883,718567,49830,0.07792494481236203,0.07792494481236203
187,277725,49493,588005,84777,3708,722275,49761,0.07451618737565563,0.07451618737565563
188,274088,49136,591535,85241,3637,725912,49493,0.07348513931263007,0.07348513931263007
189,270396,48872,595010,85722,3692,729604,49136,0.07513839140345165,0.07513839140345165
190,266698,48756,598355,86191,3698,733302,48872,0.0756670486167949,0.0756670486167949
191,262992,48685,601642,86681,3706,737008,48756,0.07601115760111576,0.07601115760111576
192,259257,48522,605062,87159,3735,740743,48685,0.07671767484851597,0.07671767484851597
193,255602,48389,608393,87616,3655,744398,48522,0.0753266559498784,0.0753266559498784
194,251977,48166,611748,88109,3625,748023,48389,0.07491372006034429,0.07491372006034429
195,248512,47844,615036,88608,3465,751488,48166,0.07193871195449072,0.07193871195449072
196,244983,47572,618376,89069,3529,755017,47844,0.07376055513753031,0.07376055513753031
197,241457,47266,621744,89533,3526,758543,47572,0.07411922979904145,0.07411922979904145
198,238031,46897,625064,90008,3426,761969,47266,0.0724833918673042,0.0724833918673042
199,234573,46642,628301,90484,3458,765427,46897,0.07373605987589825,0.07373605987589825
200,231123,46442,631495,90940,3450,768877,46642,0.07396766862484457,0.07396766862484457
201,227587,46292,634708,91413,3536,772413,46442,0.07613797855389517,0.07613797855389517
202,224108,46059,637920,91913,3479,775892,46292,0.07515337423312883,0.07515337423312883
203,220677,45764,641194,92365,3431,779323,46059,0.0744914131874335,0.0744914131874335
204,217264,45530,644419,92787,3413,782736,45764,0.07457827113014596,0.07457827113014596
205,213942,45251,647586,93221,3322,786058,45530,0.07296288161651658,0.07296288161651658
206,210598,45011,650702,93689,3344,789402,45251,0.0738989193608981,0.0738989193608981
207,207327,44748,653779,94146,3271,792673,45011,0.07267112483615117,0.07267112483615117
208,204013,44491,656881,94615,3314,795987,44748,0.07405917582908733,0.07405917582908733
209,200741,44231,659982,95046,3272,799259,44491,0.07354296374547661,0.07354296374547661
210,197530,43880,663101,95489,3211,802470,44231,0.07259614297664534,0.07259614297664534
211,194298,43650,666148,95904,3232,805702,43880,0.07365542388331814,0.07365542388331814
212,191090,43490,669093,96327,3208,808910,43650,0.07349369988545246,0.07349369988545246
213,187887,43260,672101,96752,3203,812113,43490,0.07364911473902046,0.07364911473902046
214,184759,42967,675116,97158,3128,815241,43260,0.07230698104484512,0.07230698104484512
215,181699,42607,678108,97586,3060,818301,42967,0.07121744594688947,0.07121744594688947
216,178585,42345,681063,98007,3114,821415,42607,0.07308658201703945,0.07308658201703945
217,175550,41968,684053,98429,3035,824450,42345,0.07167316093989845,0.07167316093989845
218,172483,41646,687007,98864,3067,827517,41968,0.07307948913457872,0.07307948913457872
219,169522,41356,689844,99278,2961,830478,41646,0.07109926523555683,0.07109926523555683
220,166583,41101,692647,99669,2939,833417,41356,0.07106586710513589,0.07106586710513589
221,163634,40734,695543,100089,2949,836366,41101,0.07175007907350187,0.07175007907350187
222,160722,40442,698357,100479,2912,839278,40734,0.07148819168262385,0.07148819168262385
223,157832,40137,701160,100871,2890,842168,40442,0.07146036298897186,0.07146036298897186
224,154944,39821,703960,101275,2888,845056,40137,0.07195355906021875,0.07195355906021875
225,152048,39522,706753,101677,2896,847952,39821,0.07272544637251702,0.07272544637251702
226,149206,39179,709535,102080,2842,850794,39522,0.07190931633014523,0.07190931633014523
227,146459,38883,712195,102463,2747,853541,39179,0.07011409173281605,0.07011409173281605
228,143667,38547,714924,102862,2792,856333,38883,0.07180515906694443,0.07180515906694443
229,140869,38171,717688,103272,2798,859131,38547,0.07258671232521338,0.07258671232521338
230,138114,37899,720333,103654,2755,861886,38171,0.07217521154803384,0.07217521154803384
231,135334,37640,722990,104036,2780,864666,37899,0.07335285891448323,0.07335285891448323
232,132687,37215,725678,104420,2647,867313,37640,0.07032412327311371,0.07032412327311371
233,130100,36855,728276,104769,2587,869900,37215,0.06951498051860809,0.06951498051860809
234,127463,36563,730823,105151,2637,872537,36855,0.07155067155067155,0.07155067155067155
235,124870,36258,733367,105505,2593,875130,36563,0.07091868829144217,0.07091868829144217
236,122380,35849,735882,105889,2490,877620,36258,0.06867449942081748,0.06867449942081748
237,119929,35422,738392,106257,2451,880071,35849,0.06837010795280203,0.06837010795280203
238,117503,35011,740862,106624,2426,882497,35422,0.06848850996555812,0.06848850996555812
239,115073,34690,743269,106968,2430,884927,35011,0.06940675787609608,0.06940675787609608
240,112744,34177,745743,107336,2329,887256,34690,0.0671375036033439,0.0671375036033439
241,110401,33832,748096,107671,2343,889599,34177,0.06855487608625684,0.06855487608625684
242,108162,33279,750554,108005,2239,891838,33832,0.06617994797824545,0.06617994797824545
243,105961,32853,752850,108336,2201,894039,33279,0.0661378046215331,0.0661378046215331
244,103775,32430,755126,108669,2186,896225,32853,0.06653882446047545,0.06653882446047545
245,101646,32067,757344,108943,2129,898354,32430,0.0656490903484428,0.0656490903484428
246,99561,31646,759538,109255,2085,900439,32067,0.06502011413602769,0.06502011413602769
247,97475,31209,761724,109592,2086,902525,31646,0.06591670353283195,0.06591670353283195
248,95464,30705,763936,109895,2011,904536,31209,0.06443654074145279,0.06443654074145279
249,93469,30234,766087,110210,1995,906531,30705,0.06497313141182218,0.06497313141182218
250,91401,29847,768241,110511,2068,908599,30234,0.06839981477806444,0.06839981477806444
251,89494,29329,770374,110803,1907,910506,29847,0.06389251851107314,0.06389251851107314
252,87501,29032,772383,111084,1993,912499,29329,0.06795322036209894,0.06795322036209894
253,85558,28633,774407,111402,1943,914442,29032,0.06692615045467071,0.06692615045467071
254,83662,28228,776413,111697,1896,916338,28633,0.0662173017148046,0.0662173017148046
255,81784,27926,778310,111980,1878,918216,28228,0.0665296868357659,0.0665296868357659
256,79953,27537,780261,112249,1831,920047,27926,0.0655661390818592,0.0655661390818592
257,78205,27067,782193,112535,1748,921795,27537,0.06347822929149871,0.06347822929149871
258,76459,26667,784057,112817,1746,923541,27067,0.06450659474637012,0.06450659474637012
259,74793,26189,785934,113084,1666,925207,26667,0.0624742190722616,0.0624742190722616
260,73137,25673,787835,113355,1656,926863,26189,0.06323265493145977,0.06323265493145977
261,71517,25280,789596,113607,1620,928483,25673,0.0631013126631091,0.0631013126631091
262,69876,24877,791386,113861,1641,930124,25280,0.0649129746835443,0.0649129746835443
263,68277,24546,793039,114138,1599,931723,24877,0.06427623909635406,0.06427623909635406
264,66746,24182,794706,114366,1531,933254,24546,0.06237268801434042,0.06237268801434042
265,65260,23750,796382,114608,1486,934740,24182,0.061450665784467784,0.061450665784467784
266,63742,23403,797994,114861,1518,936258,23750,0.0639157894736842,0.0639157894736842
267,62299,23011,799590,115100,1443,937701,23403,0.0616587616972183,0.0616587616972183
268,60861,22610,801184,115345,1438,939139,23011,0.06249185172308896,0.06249185172308896
269,59452,22241,802761,115546,1409,940548,22610,0.06231755860238832,0.06231755860238832
270,58121,21737,804392,115750,1331,941879,22241,0.05984443145542017,0.05984443145542017
271,56836,21280,805912,115972,1285,943164,21737,0.05911579334774808,0.05911579334774808
272,55561,20859,807396,116184,1275,944439,21280,0.05991541353383459,0.05991541353383459
273,54300,20511,808815,116374,1261,945700,20859,0.060453521261805455,0.060453521261805455
274,53060,20086,810283,116571,1240,946940,20511,0.06045536541368046,0.06045536541368046
275,51887,19686,811653,116774,1173,948113,20086,0.058398884795379864,0.058398884795379864
276,50706,19353,812965,116976,1181,949294,19686,0.059991872396627045,0.059991872396627045
277,49580,18920,814312,117188,1126,950420,19353,0.058182193975094304,0.058182193975094304
278,48453,18529,815636,117382,1127,951547,18920,0.05956659619450317,0.05956659619450317
279,47366,18177,816884,117573,1087,952634,18529,0.0586647957256193,0.0586647957256193
280,46306,17759,818182,117753,1060,953694,18177,0.05831545359520273,0.05831545359520273
281,45266,17392,819410,117932,1040,954734,17759,0.05856185596035813,0.05856185596035813
282,44236,16989,820680,118095,1030,955764,17392,0.05922263109475621,0.05922263109475621
283,43214,16690,821824,118272,1022,956786,16989,0.060156571899464356,0.060156571899464356
284,42201,16371,823007,118421,1013,957799,16690,0.060695026962252846,0.060695026962252846
285,41232,16005,824182,118581,969,958768,16371,0.059190031152647975,0.059190031152647975
286,40279,15683,825306,118732,953,959721,16005,0.059543892533583255,0.059543892533583255
287,39324,15427,826370,118879,955,960676,15683,0.06089396161448703,0.06089396161448703
288,38429,15065,827471,119035,895,961571,15427,0.0580151682115771,0.0580151682115771
289,37524,14780,828498,119198,905,962476,15065,0.06007301692665118,0.06007301692665118
290,36609,14515,829528,119348,915,963391,14780,0.06190798376184033,0.06190798376184033
291,35729,14261,830531,119479,880,964271,14515,0.06062693765070617,0.06062693765070617
292,34869,14015,831503,119613,860,965131,14261,0.06030432648481874,0.06030432648481874
293,34000,13806,832440,119754,869,966000,14015,0.06200499464859079,0.06200499464859079
294,33194,13514,833392,119900,806,966806,13806,0.0583804143126177,0.0583804143126177
295,32346,13258,834339,120057,848,967654,13514,0.06274974100932366,0.06274974100932366
296,31541,12992,835274,120193,805,968459,13258,0.06071805702217529,0.06071805702217529
297,30730,12827,836130,120313,811,969270,12992,0.062423029556650245,0.062423029556650245
298,29945,12591,837025,120439,785,970055,12827,0.061199033289155685,0.061199033289155685
299,29160,12353,837916,120571,785,970840,12591,0.06234612024461917,0.06234612024461917
300,28373,12215,838718,120694,787,971627,12353,0.06370922043228365,0.06370922043228365
301,27614,12075,839502,120809,759,972386,12215,0.0621367171510438,0.0621367171510438
302,26861,11893,840319,120927,753,973139,12075,0.06236024844720497,0.06236024844720497
303,26156,11656,841150,121038,705,973844,11893,0.059278567224417725,0.059278567224417725
304,25424,11484,841936,121156,732,974576,11656,0.06280027453671928,0.06280027453671928
305,24734,11202,842782,121282,690,975266,11484,0.060083594566353184,0.060083594566353184
306,24050,11051,843511,121388,684,975950,11202,0.06106052490626674,0.06106052490626674
307,23341,10914,844253,121492,709,976659,11051,0.06415708985612162,0.06415708985612162
308,22690,10642,845065,121603,651,977310,10914,0.05964815832875206,0.05964815832875206
309,22027,10465,845809,121699,663,977973,10642,0.06230031948881789,0.06230031948881789
310,21377,10355,846485,121783,650,978623,10465,0.062111801242236024,0.062111801242236024
311,20755,10202,847152,121891,622,979245,10355,0.06006760019314341,0.06006760019314341
312,20145,9972,847895,121988,610,979855,10202,0.05979219760831209,0.05979219760831209
313,19547,9724,848638,122091,598,980453,9972,0.059967910148415564,0.059967910148415564
314,18945,9522,849333,122200,602,981055,9724,0.06190867955573838,0.06190867955573838
315,18353,9338,850016,122293,592,981647,9522,0.062171812644402434,0.062171812644402434
316,17829,9128,850658,122385,524,982171,9338,0.05611479974298565,0.05611479974298565
317,17321,8939,851263,122477,508,982679,9128,0.05565293602103418,0.05565293602103418
318,16831,8726,851871,122572,490,983169,8939,0.0548159749412686,0.0548159749412686
319,16313,8554,852464,122669,518,983687,8726,0.059362823745129495,0.059362823745129495
320,15831,8357,853057,122755,482,984169,8554,0.056347907411737196,0.056347907411737196
321,15351,8183,853628,122838,480,984649,8357,0.057436879262893384,0.057436879262893384
322,14865,7988,854212,122935,486,985135,8183,0.05939142123915434,0.05939142123915434
323,14421,7806,854765,123008,444,985579,7988,0.05558337506259389,0.05558337506259389
324,13973,7642,855289,123096,448,986027,7806,0.05739174993594671,0.05739174993594671
325,13536,7468,855826,123170,437,986464,7642,0.057183983250457995,0.057183983250457995
326,13098,7329,856332,123241,438,986902,7468,0.05865024102838779,0.05865024102838779
327,12685,7165,856824,123326,413,987315,7329,0.05635148042024833,0.05635148042024833
328,12278,7036,857288,123398,407,987722,7165,0.05680390788555478,0.05680390788555478
329,11884,6852,857778,123486,394,988116,7036,0.055997725980670834,0.055997725980670834
330,11515,6689,858246,123550,369,988485,6852,0.053852889667250436,0.053852889667250436
331,11106,6581,858702,123611,409,988894,6689,0.06114516370159964,0.06114516370159964
332,10724,6453,859149,123674,382,989276,6581,0.05804588968241908,0.05804588968241908
333,10369,6255,859639,123737,355,989631,6453,0.05501317216798388,0.05501317216798388
334,10030,6082,860083,123805,339,989970,6255,0.054196642685851316,0.054196642685851316
335,9734,5896,860496,123874,296,990266,6082,0.04866820124958895,0.04866820124958895
336,9420,5738,860906,123936,314,990580,5896,0.053256445047489824,0.053256445047489824
337,9115,5603,861270,124012,305,990885,5738,0.053154409201812476,0.053154409201812476
